,tunes
19,A2G2A2G2A2G2E2G2|FGD2D4DEFEEG3|dAFdAFEGBAGAD2F2|A2G2E2G2E4G4||A2G2A2G2A2G2E2A2|F2E2E3FFGE2D2FG|GE2FdAE2FEG2E2G2|G4E2G2E2F2A2d2||G2A2GAB2A2G2D2G2|F2G2E4D3EE4|d2A2F2E2A2G2E2D2|AGF2F4D4B2d2||G2A2G2B2A2G2D2G2|F2G2GFD2D4D4|EF3A3GF2G2F2G2|A4G2E2E2G2A4
20,E3DE2GAA2E2BABd|G4A2dBd4A2F2|GE3E2DEE2D2dAGA|dAd2dABdA2F2BA2B||E3DE2B2A2E2A3B|A2G2d2e2d4ABEG|E2AGFGA2A2EDA2G2|d2BABA2dB3Aed3||ef2ef2g2efe2e2d2|d2A2d2e2g2a2f2d2|a2gae2feg2d2e2g2|fg3g2eddBG2d2e2||f2g2g2a2d'4g3a|b2f2g2e2f2a2e2d2|Bd2ebabag4g4|g2deBdedd2G2G4
21,d4d4e2B2dBd2|d4A4e2g2ded2|d4e2d2e2d2d4|e2fge2d2d2e2d4||d4d4e2B2d4|d4A2B2e2g2e2d2|d4e2d2e2d2d4|e2f2e2d2d4ed3||ag2ag2a2g2e2d2e2|d4d2g2d2e2de3|d'4b2g2e2f2d2e2|f2g2e4d4d2e2||a2g2g2a2g2e2d2e2|d4d2g2d2e2e2d2|g4a4g2f2e4|g4e4d2e2d4
22,"A4G4F4D4|E2D2ED3D4D3B,|G4GFEFG2FGAGBd|dBABA4d2e2d4||A4AG3F4D4|E2D2E2B,DD4D4|BdBAd4d3BABG2|ABd2e2ded4ed3||A4A2B2d4G4|A2E2G2A2G2F2EF3|B2A2BdA2d2Bdd2GA|dBA2dBA2d4e2d2||A4A2B2d4G2A2|A2E2G2A2G4F2G2|B2A2Bd3A4G2Bd|G2Bdd3Bd4d4"
23,"E2DEG2E2E3FG2F2|D2G2A4d2BAA2GA|FEd2A2G2D2F2F2E2|E4D2E2D2B,2B,3D||DED2GFE2E4G2F2|D2G2A4d2B2A2G2|F2d2A2G2E2GAG4|FEDED2E2D2B,DB,3D||B2d2gae2f2e2e2de|A2e2a2g2agf2f2d2|A2g2g2edd4d4|A2GFE2D2D2B,2B,4||A2e2g2e2g2ede2ga|d'2a2a2gad'2f2a2b2|a2e2e2d2d2e2d2A2|A2F2E2D2D3B,B,4"
24,"D2E2FBAFD4B,2D2|A,4A,B,3B,D3D2B,2|D4D3ED2EFDEA2|A2GAEFG2G2E2FE2F||D2B,A,D4B,2D2D4|A,2D2D4E4D2E2|FGF2EFD2D4D3E|D4FEDEA,2D2D3E||D2A2GAG2E2DED4|B,2D2E3DD4D2B,2|DED2E3FFGA2BAG2|A2G2E2FEG3FG2BA||D2A2A2EFA2D2D2F2|G2E2D4D2E2E2FE|F2GAA2G2E3DD2E2|D4D4A,4A,B,A,2"
25,"DE2DDEFEE4GFG2|G2F2E2FEFGFED2A,2|ED2EE2DEGFGAdBd2|edAdD2G2FGF2GE2G||E2D2D2F2FE3GFG2|G2F2E3FEFEDB,DB,A,|D4D2B,DEDE2F4|E3FB2EFD4D4||G2d2B2dBG2E2D2F2|E2F2G2A2G4F2D2|d2e2e2B2A3GE4|D4D4D2E2D2E2||E2B2d2B2G2E2E2F2|E2FEG2A2G4E2D2|A2d2d4G4E2A2|AG3G2E2D4D4"
26,g4g2fgdAg2g4|AGede4g2fee3d|fg3g2fgdAgagfeg|agabd'2ad'd'bg2d2e2||a2baa3bdBaggf2g|BGd2aga2a2e2eded|debad'2abdAabafdf|d'gfgagd'2d'2d2afef||bd'3f'2e'2e'd'3d'e'f'e'|bad'e'f'2d'2d'2g2g4|ad'e'2e'4e'3d'e'f'g'e'|be'd'ba3gbag2efg2||b2e'2g'f'd'e'f'2d'2d'2e'2|d'2f'e'e'2d'ad'2g2g4|d'2e'2e'2f'e'd'4d'4|d'e'2d'ad'e'd'e'd'g2e4
27,"G2FGE2D2B,2DB,D2GF|GAB2G2E2DED2DED2|A2G2E2D2B,A,D2E4|BAF2F2E2D2B,2B,3D||G2EFE2D2B,2D2D2G2|A4AGE2DED2D4|A2G2E2D2A,B,D2E4|B2F2F2E2D2B,DB,DB,D||e4f2e2d4B2e2|d4d2B2A2B2d2B2|d2f2e2d2d2BAA2d2|B2A2G2E2E2D2D3E||e2gff2e2d4A2e2|d4d2B2A2B2d4|d2f2e2d2d2B2d4|d2A2G2E2D2B,2B,3D"
28,f4efd2d4gad'2|ga3gfd2e2feefge|gagfefd2d4d'bg2|e4e2d2d4d4||f2efe2d2d4a2d'2|bag2g2d2e4e2gf|g4e2d2d4b2g2|e4ded2d4d4||g4gab2g3ag3a|bag2e2g2f2e2d4|a2d'2a2d'2b2a2g2e2|d2e2d2e2d4d4||g4g2b2g2a2f2ba|a2g2e2g2f2e2d4|a2d'2a2d'2b4g2e2|d2e2d2e2d4d4
29,A2dAd4efeda4|f2aeeagfdgedde2d|fefdgfdgfedagded'|aefggfed'feded4||de2defbaabaegag2|agd2d'egbgfd2dBe2|d4f2g2f2d2bedg|bgBAbead'gedBged2||b3ab2d'2d'a2d'd'2g2|gabd'bd'2dfg2fd3B|gd'ad'd'2babgfabd'bf|fd'2ggad'de2d2d4||bd'3d'2e'2e'2d'e'd'2ab|ga2d'ad'e'gef2ed4|gbd'e'd'3ba2gad'3a|gbagfad'ed2e2d4
30,Bd2Bdfe2d3GBfd2|d4ded2d4BdAG|d4dBA2AGA2d4|d4d4d4d4||fgd2dedeA2edAde2|dBd2ed3d4B2G2|d2g2d4BA2dedGA|ed3d3eA2dAgeg2||g4bd'3e'd'2e'e'd'3|d'bababaff2edd4|f2g2b2a2d'4d'e'd'2|gabaagedededd4||a4d'2bd'a2d'2d'4|d'2aba3ge2d2d4|g2fgbad'2d'4ad'a2|gaf2e2ged4e4
31,F4F2A2B2A2F2E2|D4E2G2E2D2D4|E2F2F2G2A2E2FED2|G2B2A2d2d4d4||F3EF2A2B2A2GFE2|D4E2G2E2D2D4|E2F2F2G2A2E2F2D2|AGB2A2d2d4d4||d4d4e2d2d4|A2d2e2d2d2ede2B2|d4d2B2e2d2e2d2|d4B2d2e2d2d2B2||d4d4e4d2f2|g2e2d4d2ede2d2|d2g2g2e2d4d4|e2d2d4e2d2d2AB
32,e4g2fee4d4|d4d4d4ed3|e4gfe2e2d2B2d2|e2d2d2B2G4G4||e4g2fee4d4|d4d4d4d4|e4gf2ga2f2e4|e2d2d2B2G4G2FG||d2fgf2g2g2a2g2ag|fgfgb2d'2d'4b2a2|ef3f2e2g3fe4|e2d2d2B2G4G4||d2f2f2g2g3ag2a2|fg3b2d'2d'4b2a2|d'4d'3bb2a2fgf2|d4d2B2G4G4
33,E4A4d3Bd4|ededdfedGd2GGBAG|G2BAdAGAA3BdBde|ed3edAfd4B2dB||E4A4d4d3e|d3BdAd2dBdBFEA2|GA2BBGA2AdAGd2AB|d4gedfdBAEd4||A4d4d3ed3e|dedfagedd4d2B2|A2Bdd2edd2GBedAd|fgfggeaddAB2d4||A2BAd4d3ed4|d3fe2fdd4B3d|A3dBd2Bd4Bd3|Bd3e2fdd2BdB2d2
34,e3fg2f2d2e2abf2|d4e2d2gaBAe2d2|efe2g2d2e2g2d'2e2|a2d'2bd'3d'2a2g2f2||e2f2g2f2B2gea2f2|d4e2d2g2dBd4|e4fgd2d2a2b2e2|bagaa2d'bb2e2agfg||d'4e'2d'e'babd'b2d'2|d'3e'f'e'd'e'd'2a2g2e2|b2d'2d'4a2b2e'2d'2|bd'2bgad'2a2g2g4||d'bd'2e'2d'2d'2a2b3d'|d'3e'f'e'd'2d'2gaa2de|d'bd'2d'4d'4d'2ga|a4ege'd'aba2g4
35,ed2efed2d4G2B2|d4d2e2f2a2g4|f4feded2e2B2e2|d4B2G2E2D2D4||e2defed2d2BdG2d2|d2edd2e2f2a2g4|gf3feded2e2B2e2|d4B2G2E2DEDEDE||e2aba2bd'bab2a2d'2|a2b2d'2aba2g2g4|e2d'2d'2b2g2d'2a4|f2a2e2g2d2gffg3||e2abagb2b4a2d'2|a2b2d'2a2a2g2g2a2|d'3bbd'a2a2g2e2B2|d4e2d2a2d2d4
36,G2BAg4f2e2d4|BdBAd4BAG2E2G2|A2d2e4g2f2e4|gfe2d4e2d2d4||G2BAg2fggfd2d4|B4d4BAG2E2G2|A2d2e4g2f2ede2|g2ded4e2d2d4||a3ba2g2f2e2d4|d2g2g2f2f2d2d4|f4f2a2g2e2g2d2|g2e2d2e2e2d2d4||bab2g4f2ded4|e2g2gfe2f2d2d4|f2g2e2a2g2f2d'2a2|e4d2e2e2d2d4
37,E2GFA2d2e3dd2B2|dB3d4B2GAG4|G2AGd4egfee2de|ageffd2ed4dBdB||E2F2A2d2e2d2d2B2|dB3d4dBGAG4|G4d4g2e2e2d2|gfe2bgfae3ded3||e4e2f2g2f2e2de|a3bd'bgaf2e2d2e2|e2d2e2d2f2e2age2|gabaefadd4d4||e3fe2f2g3fe2de|a4b2a2b2e2d2e2|g2b2d'2b2a4f2ef|e3fefgdd4d4
38,"d3GBfeBGdAFAd3|d2eAGe2AEedEDGDA,|D2EDDEDGD3AG3d|BAGAG2FGEFD2D3E||BdAEB2e2ABdGAd2e|dAd2dA2dG2BGD4|EFEDDEDFDA,DEGE2G|GDGFgd2eD2FEAG3||Bd3Bd3ded2dABd|BAd2dgaAEGAGDED2|DGEGABdFGA3dAG2|GAdAD2GEE2D2E2A2||F2d2efd2BAGABABd|AB2dd3AG2AGD3E|DEFBGAdGEFG2F2A2|E2FEABAGD4D4"
39,e4d2B2A2G2F2A2|B2d2A4GAG2E2AG|g3ed4BA3A2G2|A4d2A2d4d4||e2ded2ABA2G2F2BA|B2d2A4G4E2AG|g2a2fgded3ee2d2|d3Bd2Bdd4gf3||a2g2a2d'2a4f2ef|e2d2d2e2f2g2d2e2|a4f2aggag2ed3|d2B2d2B2d4g2ef||a2g2g2d'2a4f4|e2d2d2e2e2g2d2e2|a4f2a2g2fede3|d2e2d4d4d2ef
40,d4g2e2d2f2e2d2|dBdBad'baa2g2fgd2|e4g2d2d2edefg2|a3ga2eagfefdBe2||d4g2e2d2f2e2d2|dB3b2a2a2g2e2d2|f4f2d2e2g2e4|a2d'aa2eae2BGge3||d'4d'4age'2a2ga|f'e'd'e'e'd'baa2d'2d'4|f'2d'2d'bd'2d'2e'2d'bab|abd'2d'3fed3gfe2||d'4d'4d'2f'2f2ba|d'e'3d'2baa2d'2d'3a|e'4e'4bd'f'e'b2ga|g2abd'3gfgfgedef
41,A4GAF2E2D2D2E2|D4E4A2B2B2G2|D2E2EFE2E4E2G2|AG2AF2d2d2edd4||A4G2F2E2D2D2E2|D4E4A2B2A4|GAe2d4d2ABdB3|d4d4A2BAd4||ABd2ed3B4A2G2|D4F2A2A2G2A2F2|F2A2d2BAA2B2B2d2|A4A2dBd4d4||d4d4e2d2G4|E4F2A2A2G2G2F2|A2d2B2d2A2B2d2e2|d4B2d2A4A4
42,g4agf2ed3d2b2|g2a2egbggbd'2b2g2|d'a2bbag2e2d2e2g2|d'2a2a2f2g4feg2||g3ffg3e2d2eda2|ag3agaba2b2agag|d'2fgb2agg2a2bag2|d'2a2a2fgfgd2d'ad'2||d'2abe'2d'2e'd'3d'e'3|d'2b2d'4bd'baa2e'2|d'e'd'2e'd'agd'4d'4|d'bg2a2e2fed2abd'2||d'bd'2e'2bd'e'2d'2d'2e'2|d'3bd'4bd'2bbad'2|f'2d'2d'3ad'2e'2d'4|d'4d'2b2d'2a2d'bd'2
43,fe2ffe2dd4f2ed|e2d2d2ABd2e2e3d|g4ag2afd2gfe2b|ae2ge2deed3d4||f2e2f2d2d4f2d2|e2d2d3Bd2fede2d|g3fa2e2d4fedf|eBdAaefgd4d4||e2d2e2f2ef3e2f2|a2d'2d'2bd'ageff2e2|e3gfafdege2fed2|dfe2d2A2d4d4||e2d2e2gff4e2gf|a2bd'd'2bd'b2e2ef3|fgeggag2ef3de2d|Ad3d2geB2d2d4
44,d4d2A2d2G2BABd|d4e2d2d2A2A4|g2e2d4d2G2e2d2|f2d2d4e2d2d4||d4d2A2d2G2BAdB|d4e2d2d2A2A4|g2e2d3Bd2G2e2d2|gfd2d4e2d2d4||d4e4a2g2f2e2|d2e2g2a2a4a2ga|fea2b2a2d'2f2f2e2|e2d2d4d4d4||d4e2f2a2g2g2e2|de3f2a2b2a2b2d'2|d'2bab2a2d'4d'2a2|g4efa2b2a2e4
45,e2g2abgfabd2bd'ba|e3fe4edABBAd2|d4g4bd'fead'e'2|e'2d'2d'2bab2f2e2d2||e2g2gabagagebd'a2|e2f2e4edABBAd2|d4g4d'bded'2ad'|d'2f2a2baa2d2ed2e||e3dg3ad'2gbe'd'3|a2bd'e'2d'2bga2a2g2|d2f2a4a2d'2g'3f'|e'2d'2abd'ba2e2def2||d2e2gfa2d'2b2d'4|d'4e'3f'f'e'f2f2ef|d'4d'4d'4e'3d'|bd'bafg2fa4g2e2
46,G4FGE2D4D2F2|GA3d2G2Bd3d2AG|G2A2G2FED4E4|d2F2A2F2E2D2D4||G4G2E2D4D2F2|A4d2G2B2d2d2A2|G2A2G2EFD4E4|d2F2A2F2E2D2D4||d2e2d2e2d4d4|d2A2B2d2d4d4|d2e2d2f2d4d4|d3Bd4A2d2d4||d4d2e2e2d2d4|d2A2B2d2d4d4|d3ed2g2g2a2a2fe|e2d2d4e2d2d4
47,d4BdA2F2G2A2d2|G2B2d2A2A2BddBd2|edBdB2A2G2ABed3|d2A2F2G2G2F2E4||d4BdA2F2G2A2d2|G2B2d2A2A2d2B2d2|e2B2B2A2G2ABe2d2|d2A2F2G2G2F2E4||d2f2g2f2e4f2e2|dBe2g2e2d4d4|d2g2g4e4fe3|d2B2G2F2AGE2E2DE||d2f2g2f2e4efe2|d2e2f2e2d4d4|a2g2a4g2a2f2d2|d4A2G2G2F2F4
48,E2GEAdedd3Bded2|B2fGAagAEedGEdGE|dAB2d2ABGBGddBdg|ed2efdAgefefd4||EGEDGAd2d3Bdedf|AGd2ed2BdBdADEA2|AGAFe2BAG2BAdBAd|d2edad2gd3Gge2d||FGA2f2e2d3fdB2d|AdBegad'BGBdAEFG2|Afdfge2de3ffdBd|e3gged'ddBd2ed3||G2A2g2degfdedBAB|Ad2gefeAdB3EFEG|EB2ed2ged4A2d2|Bd2ff2gBd2e2d2e2
49,f2effed2d2A2BAd2|GFd2d4d4d4|f4f2edd4dBd2|d2e2e2d2f3gd2e2||f2e2e2d2d2A2B2d2|G2d2d4d4d4|f4efe2ded2d4|d2e2e2d2fgfeag3||a2g2d'2abd'2b2a4|efg2a2d'2d'2g2f2e2|g2b2d'2a2ag3g2fe|d2e2efd2e4g2ef||a4b2a2d'2b2d'4|d'4b4bd'g2f2g2|a4d'2a2b2g2g2e2|d2a2a4d'2a2f3g
50,AGA2d2edd4A2E2|AGE2A2F2E2D2D4|G4BAd2B2G2AGE2|A2d2d4d4d4||GA3d2e2d4A2E2|AGE2A2F2E2D2D4|G4B2d2d2B2GAE2|A2d2d4d4d4||e2d2d4e2f2f2d2|e4feg2g4f2d2|f2ded4d4e2d2|A2d2d4e2d2d4||e2d2d4e2f2e2d2|e4e2g2g4f2d2|f2efe2g2g4e2d2|A2d2d4d4d4
51,F4G4Bd2Aded2|d4d4G2E2E2D2|d2A2d2A2d4d4|d2A2B4B2d2dBd2||FGFEG4d3Bd3e|d4d4G2E2E2D2|d4d4g2f2f2e2|d3Bd4d2B2d4||d4e4g3agfe2|d2e2f2edd2A2A2G2|d4e4g2efe2d2|d2A2d4B2d2d4||d4e4g4g2e2|d2e2f2d2d2A2A4|d4e2a2d'2b2g4|d4d4Bd3d4
52,A2dAefedeagdgba2|e3dg4g2d2d3B|d2edaga2a2gbafgd'|afgfge2bfed2d4||d2ede2agabafg2a2|afdeg2b2g2d2d2AB|d4ag2fd'2agbgeg|agdAadad'fed2d4||f3ea2bd'agegd'afg|d'4e'2bd'd'a2bage2|g2ad'd'3bd'4d'2b2|ad'3bd'2ef2d2d4||g2a2b2d'2e'2d'2d'2g2|e'4f'g'3f'e'e2fg3|d'3e'ad'e'2d'4e'd'3|gba2gad'gd2e2d4
53,d4f2d2e2f2d4|d2e2e4d2e2f2d2|edfeged2d4d3f|dBd2d2Bdd4B2d2||d4f2d2e2f2ed3|d2f2e4d2e2d2e2|e2d2fed2d4d4|dBd2gedgd3Aed3||d'2abe'2d'2a2f2g2e2|d2bd'd'2bd'd'2a2a2bd'|abad'd'2agfgefad3|f3ee2gdd4e4||d'b3e'2d'2b2g2bd'3|d'2e'2d'4d'2a2a4|bd'ad'ga2gege2ede2|d4ef2dd4d4
54,E4F2E2E2D2D4|G2D2G2D2E2D2D2E2|G2F2F2D2E2D2E2F2|A4F2D2E2FGG4||E4F2E2E2D2D4|G2D2G2D2E2D2D2E2|G2F2F2D2E2D2E2F2|A4F2D2F2E2D4||E4E2F2A4G2E2|E2F2G2F2D4D4|E2D2E2G2d2A2B2F2|G4G2E2F2E2E4||F2E2E2F2A4G2E2|E2GFF2GFED3D4|dBe2d2e2d4d2A2|A2G2G2E2F4F4
55,G4G2D2G3AG2F2|G2AGFGAGFG2FG2F2|FE2FED3E2D2G2D2|G4D2E2FGE2G2FG||G2F2G2D2G3AG2F2|GA3F2GFFG3GFG2|G4d4ABAGA2FG|B2d2d4BdBAA4||G2F2GAF2G2E2E4|G2A2G4A2GFG2E2|D2E2E2F2G2D2d2A2|G4E2F2G2F2A4||G2F2G2F2A2E2E4|A2GAG4G4G2E2|D2E2G2A2A2E2A2B2|B2A2B2dBGAG2G2F2
56,d2A2G2F2E2F2E2G2|d4d2B2d4d2B2|d4A4D2B2E2A2|A2d2dBA2F2E2E4||d2GAG2F2E2F2E2G2|d4d2B2d4d2B2|d4A2GAD2B2DEA2|A2d2d2GAF2E2DE3||e2f2a2e2g2d2a2d2|e2g2b2g2e4f4|d2e2g2edg2BAd'bf2|e2d2d2G2F2E2D2E2||e2feg2e2g2d2g2d2|e2g2a2g2e4e2ga|b2f2g2f2g2d2e2d2|d3BA2G2G2E2E4
57,a2edg2dee2a2e2g2|d2e2f2d2d4e2d2|f2edd4dgagdea2|b2g2bagad'b2d'e2g2||a2e2fgede2a2e2g2|e4f2d2d4e2d2|gfd2e2d2a2b2gfg2|d'bagd'bgaa2edbgfg||g2a2d'2abe'd'3g2a2|d'4e'2d'2d'4b2d'2|d'2bd'd'3ae'3d'd'2g2|b2gad'2bgagfggafe||aga2d'2abe'd'3agb2|d'2e'2e'2b2d'4b2d'2|e'2d'2e'2d'2d'4b2a2|a4d'3agag2f2ga
